#Field_number xki_field_center eta_field_center Mvlim alpha sigma
205 -2.7635000000000005 -2.0242500000000003 -5.657918385808952 -0.7969742633241249 0.34878849216420116
206 -3.7597499999999995 -1.9705000000000001 -5.598756457933241 -0.64668126940452 0.357696597841301
207 -1.7765 -2.049 -7.278228677158333 -0.7808678634867114 0.3229838807811784
208 1.2297500000000001 -2.0585 -6.3861282891604585 -0.9975919506775452 0.4890599961388883
209 0.22199999999999998 -2.0665 -6.295887334464061 -0.9788465023698598 0.5341329848870202
210 -0.781 -2.061 -7.068426316668906 -0.7541410468423745 0.327370941787309
211 2.218 -2.0145 -5.731502304121045 -0.8355411409583343 0.4180437329842004
1000000 1000000 1000000 1000000 1000000 1000000
213 9.8655 -0.96475 -5.208139752828685 -0.5502617475122648 0.2721849608293431
1000000 1000000 1000000 1000000 1000000 1000000
215 -9.887 -0.9259999999999999 -5.614271687865539 -0.5282050401320545 0.2980442287852364
216 7.911750000000001 -1.10725 -5.44339095564665 -0.5942754595510089 0.36815500799272705
217 8.900749999999999 -0.9532499999999999 -5.607930195287513 -0.7038889015425657 0.36115792133029406
218 -8.89 -0.93275 -5.773457783277563 -0.5965001937433672 0.29442243661110085
219 6.939500000000001 -1.0795000000000001 -5.405724571071191 -0.6078390910816761 0.2543134420851989
220 -7.8965000000000005 -0.93925 -5.537392169021215 -0.5575394159864459 0.349864626231381
221 -6.8995 -0.94675 -5.499553919645172 -0.5510789311912492 0.2991715819344541
222 6.07775 -1.02475 -5.46502279323488 -0.6021460008615614 0.3215855325397851
223 5.08025 -1.031 -5.595565201343368 -0.677135306590901 0.40498606646806456
224 -5.90325 -0.954 -5.560597774843517 -0.5645096261164279 0.2817046149178107
225 4.083 -1.0364999999999998 -5.620107541409079 -0.7136301992992392 0.46020642128739686
226 -4.90925 -0.9610000000000001 -5.72952334597825 -0.7177231010574903 0.35758724733022307
227 3.064 -1.021 -5.783763671314628 -0.6572822891796885 0.29806620218518637
1000000 1000000 1000000 1000000 1000000 1000000
229 -2.9172499999999997 -1.02175 -5.5188036945867545 -0.6486998946067569 0.3860221676934592
230 -3.9095000000000004 -0.96825 -5.859023880664685 -0.7127397705222523 0.34488825976181425
231 -1.926 -1.0505 -7.243004842173902 -0.7222324183683536 0.2618783938482402
1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000
234 2.06625 -1.0135 -5.691464462849338 -0.7943376922918762 0.377324672338592
1000000 1000000 1000000 1000000 1000000 1000000
236 9.796 0.04624999999999996 -5.393809334621499 -0.5835615004266838 0.345650735354
237 -9.309 0.012749999999999984 -5.509992914684359 -0.5269442589535542 0.26218117877241487
238 -10.3155 0.15975 -5.477917516180878 -0.5280166588153036 0.25828471862603253
239 7.836499999999999 -0.10425000000000001 -5.438795500187955 -0.5881516448662517 0.3487764006475693
240 8.841 0.03974999999999998 -5.673087089396043 -0.6301884842304003 0.2662767179937932
241 -8.33075 0.01100000000000001 -5.557203981687817 -0.5536949164016575 0.2777969757005454
242 6.8229999999999995 -0.09575 -5.38749232189913 -0.5628600259791462 0.3805542203983358
243 -7.3535 0.009499999999999953 -5.560350969629283 -0.5763595332037474 0.2802102957894376
244 -6.3725000000000005 0.007750000000000007 -5.556465133885081 -0.5567645828830412 0.35513187280336705
245 5.83475 -0.02924999999999997 -5.526021953346042 -0.5710660562860514 0.34181608932230384
246 -5.39225 0.006749999999999978 -5.6820808135483185 -0.6300195085816929 0.2535939561859804
247 4.8555 -0.033249999999999974 -5.65683342120878 -0.6147108389766555 0.31105385098520716
1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000
250 3.8715 -0.03225000000000003 -5.615313753508151 -0.5759345690061184 0.28674344777460825
251 -4.4115 0.0050000000000000044 -5.649107425508899 -0.7097706194364879 0.32880628521869204
